symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 FNMA   ,Federal National Mortgage Association,5.40,-0.81,-13.04%,13.054M,19.46M ,6.254B,- ,390.91% 
 APGE   ,"Apogee Therapeutics, Inc.",36.70,-3.76,-9.29%,1.028M,"476,793 ",2.302B,- ,20.09% 
 QXO   ,"QXO, Inc.",13.71,-1.31,-8.72%,3.944M,2.187M ,5.613B,24.05 ,-86.58% 
 JANX   ,"Janux Therapeutics, Inc.",40.61,-3.32,-7.56%,"851,421",1.099M ,2.381B,- ,374.92% 
 KYMR   ,"Kymera Therapeutics, Inc.",40.29,-3.27,-7.51%,"753,088","464,490 ",2.609B,- ,58.46% 
 PVH   ,PVH Corp.,92.20,-6.81,-6.88%,2.504M,"801,786 ",5.129B,7.55 ,-23.66% 
 VKTX   ,"Viking Therapeutics, Inc.",32.56,-2.30,-6.60%,4.988M,4.579M ,3.628B,- ,60.13% 
 FRO   ,Frontline plc,17.49,-1.21,-6.47%,5.009M,3.136M ,4.163B,7.60 ,-21.36% 
 TRMD   ,TORM plc,20.95,-1.40,-6.26%,1.688M,1.321M ,2.208B,2.89 ,-35.55% 
 NSANY   ,"Nissan Motor Co., Ltd.",5.28,-0.34,-6.05%,"51,587","670,404 ",9.654B,10.35 ,-31.96% 
 UNH   ,UnitedHealth Group Incorporated,510.59,-32.83,-6.04%,9.047M,4.694M ,500.101B,35.33 ,1.40% 
 IMPUY   ,Impala Platinum Holdings Limited,5.22,-0.33,-5.95%,"37,224","314,186 ",4.715B,- ,34.19% 
 MGNI   ,"Magnite, Inc.",15.14,-0.95,-5.90%,2.343M,1.815M ,2.13B,116.46 ,79.78% 
 INFY   ,Infosys Limited,21.57,-1.32,-5.77%,22.92M,7.446M ,89.344B,28.01 ,7.90% 
 EXAS   ,Exact Sciences Corporation,50.44,-3.08,-5.75%,5.945M,2.585M ,9.335B,- ,-23.40% 
 MLTX   ,MoonLake Immunotherapeutics,41.47,-2.50,-5.69%,"450,344","250,358 ",2.615B,- ,-17.86% 
 USB   ,U.S. Bancorp,48.03,-2.87,-5.64%,17.254M,7.662M ,74.928B,14.78 ,14.33% 
 PTON   ,"Peloton Interactive, Inc.",8.49,-0.48,-5.35%,13.829M,17.502M ,3.239B,- ,61.04% 
 WULF   ,TeraWulf Inc.,5.85,-0.33,-5.34%,33.491M,29.313M ,2.258B,- ,323.91% 
 EWTX   ,"Edgewise Therapeutics, Inc.",26.72,-1.48,-5.25%,"945,285","809,856 ",2.53B,- ,116.26% 
 SNAP   ,Snap Inc.,11.22,-0.62,-5.24%,34.798M,30.48M ,19.858B,- ,-27.89% 
 ECG   ,"Everus Construction Group, Inc.",66.29,-3.66,-5.23%,"641,440","618,101 ",3.379B,26.62 ,42.76% 
 TXN   ,Texas Instruments Incorporated,187.37,-10.14,-5.13%,7.458M,5.721M ,170.922B,34.89 ,7.90% 
 ZIM   ,ZIM Integrated Shipping Services Ltd.,16.62,-0.89,-5.08%,7.066M,6.403M ,2.108B,1.47 ,36.05% 
 SMTC   ,Semtech Corporation,68.93,-3.58,-4.94%,3.4M,1.719M ,5.94B,- ,225.14% 
 WMMVY   ,"Wal-Mart de México, S.A.B. de C.V.",26.49,-1.36,-4.88%,"63,908","177,283 ",48.893B,18.65 ,-33.48% 
 CRL   ,"Charles River Laboratories International, Inc.",165.80,-8.11,-4.66%,2.606M,"738,978 ",8.893B,21.70 ,-21.80% 
 CEPU   ,Central Puerto S.A.,13.67,-0.64,-4.47%,"415,698","387,096 ",2.054B,11.20 ,57.43% 
 NTES   ,"NetEase, Inc.",99.31,-4.61,-4.44%,1.905M,1.376M ,64.005B,17.15 ,8.30% 
 CMBT   ,Cmb.Tech NV,11.16,-0.49,-4.21%,"66,173","115,258 ",2.171B,1.87 ,-33.81% 
 TEO   ,Telecom Argentina S.A.,12.56,-0.54,-4.12%,"151,652","269,406 ",4.179B,13.08 ,69.27% 
 PAGS   ,PagSeguro Digital Ltd.,6.64,-0.28,-4.05%,4.879M,5.446M ,2.159B,6.71 ,-45.08% 
 AAPL   ,Apple Inc.,228.26,-9.61,-4.04%,68.999M,45.54M ,3.577T,39.09 ,19.16% 
 CAAP   ,Corporación América Airports S.A.,18.54,-0.78,-4.04%,"134,875","161,116 ",2.987B,8.87 ,20.98% 
 KGC   ,Kinross Gold Corporation,10.23,-0.43,-4.03%,24.865M,17.433M ,13.084B,17.64 ,89.44% 
 HAFN   ,Hafnia Limited,5.73,-0.24,-4.02%,2.017M,2.568M ,2.874B,3.39 ,-19.05% 
 SIG   ,Signet Jewelers Limited,56.59,-2.33,-3.95%,2.927M,1.286M ,2.461B,6.62 ,-42.91% 
 UPWK   ,Upwork Inc.,16.37,-0.66,-3.88%,2.044M,2.407M ,2.188B,26.40 ,17.29% 
 CFLT   ,"Confluent, Inc.",26.74,-1.07,-3.85%,7.364M,3.829M ,8.771B,- ,26.47% 
 HCM   ,HUTCHMED (China) Limited,13.32,-0.53,-3.83%,"160,735","77,838 ",2.634B,- ,-2.94% 
 SLAB   ,Silicon Laboratories Inc.,132.50,-5.12,-3.72%,"279,457","301,221 ",4.299B,- ,4.88% 
